id,fy,state_name,district_name,total_dbt_transfer,no_of_dbt_transactions,start_year,end_year,transfer_per_transaction
515,2019-2020,Madhya Pradesh,Narsinghpur,130600000,826862,2019,2020,157.94654972655655
516,2019-2020,Madhya Pradesh,Neemuch,234300000,1152335,2019,2020,203.32628966402999
517,2019-2020,Madhya Pradesh,Panna,75000000,477929,2019,2020,156.9270749420939
518,2019-2020,Madhya Pradesh,Raisen,260900000,1553286,2019,2020,167.96649168279376
519,2019-2020,Madhya Pradesh,Rajgarh,198300000,1061026,2019,2020,186.89457185780554
520,2019-2020,Madhya Pradesh,Ratlam,301000000,1481468,2019,2020,203.1768489093251
521,2019-2020,Madhya Pradesh,Rewa,248600000,1553890,2019,2020,159.98558456518802
522,2019-2020,Madhya Pradesh,Sagar,268900000,1692078,2019,2020,158.9170239197011
523,2019-2020,Madhya Pradesh,Satna,255000000,1611113,2019,2020,158.27567650437928
524,2019-2020,Madhya Pradesh,Sehore,151000000,973464,2019,2020,155.11616248777563
525,2019-2020,Madhya Pradesh,Seoni,120600000,767150,2019,2020,157.2052401746725
526,2019-2020,Madhya Pradesh,Shahdol,89400000,560760,2019,2020,159.4264926171624
527,2019-2020,Madhya Pradesh,Shajapur,136700000,776018,2019,2020,176.15570772842898
528,2019-2020,Madhya Pradesh,Sheopur,75700000,376464,2019,2020,201.08164392876876
529,2019-2020,Madhya Pradesh,Shivpuri,201400000,1016147,2019,2020,198.199669929646
530,2019-2020,Madhya Pradesh,Sidhi,67600000,432440,2019,2020,156.32226436037368
531,2019-2020,Madhya Pradesh,Tikamgarh,124500000,623082,2019,2020,199.81318670736758
532,2019-2020,Madhya Pradesh,Ujjain,466000000,2408433,2019,2020,193.48680241468207
533,2019-2020,Madhya Pradesh,Umaria,36300000,227060,2019,2020,159.86963798115036
534,2019-2020,Madhya Pradesh,Vidisha,162400000,1025938,2019,2020,158.29416592425662
535,2019-2020,Madhya Pradesh,Singrauli,84100000,538899,2019,2020,156.0589275541428
536,2019-2020,Madhya Pradesh,Alirajpur,30700000,172436,2019,2020,178.03706882553527
537,2019-2020,Madhya Pradesh,Agar Malwa,44700000,220231,2019,2020,202.96870104572017
538,2019-2020,Madhya Pradesh,Niwari,28600000,137846,2019,2020,207.47791013159613
539,2019-2020,Gujarat,Ahmadabad,1515100000,10726356,2019,2020,141.2502065006979
540,2019-2020,Gujarat,Amreli,226700000,1550836,2019,2020,146.17922204540002
541,2019-2020,Gujarat,Anand,260700000,1699819,2019,2020,153.3692704929172
542,2019-2020,Gujarat,Banas Kantha,325500000,2057622,2019,2020,158.1923210385581
543,2019-2020,Gujarat,Bharuch,189500000,1294157,2019,2020,146.42736545875036
544,2019-2020,Gujarat,Bhavnagar,322400000,2284922,2019,2020,141.09890840912732
545,2019-2020,Gujarat,Dang,7600000,65590,2019,2020,115.87132184784267
546,2019-2020,Gujarat,Dohad,101300000,638845,2019,2020,158.56741463109205
547,2019-2020,Gujarat,Gandhinagar,191900000,1233678,2019,2020,155.55112436146223
548,2019-2020,Gujarat,Jamnagar,227600000,1656668,2019,2020,137.38419526422916
549,2019-2020,Gujarat,Junagadh,292000000,2067465,2019,2020,141.23576457158887
550,2019-2020,Gujarat,Kachchh,303000000,2169180,2019,2020,139.68412026664453
551,2019-2020,Gujarat,Kheda,183200000,1182308,2019,2020,154.9511633178495
552,2019-2020,Gujarat,Mahesana,302400000,1966975,2019,2020,153.73860877743743
553,2019-2020,Gujarat,Narmada,31400000,204111,2019,2020,153.83786273155292
554,2019-2020,Gujarat,Navsari,135200000,1107770,2019,2020,122.04699531491194
555,2019-2020,Gujarat,Panch Mahals,214900000,1298874,2019,2020,165.45099832624257
556,2019-2020,Gujarat,Patan,191100000,1221359,2019,2020,156.46505245386493
557,2019-2020,Gujarat,Porbandar,103700000,732159,2019,2020,141.63590149134274
