id,fy,state_name,district_name,total_dbt_transfer,no_of_dbt_transactions,start_year,end_year,transfer_per_transaction
843,2020-2021,Haryana,Karnal,7617536177,8044973,2020,2021,946.8690792374318
844,2020-2021,Haryana,Kurukshetra,5422488407,5097720,2020,2021,1063.7085612783753
845,2020-2021,Haryana,Mahendragarh,3046717204,2974812,2020,2021,1024.1713439370287
846,2020-2021,Haryana,Panchkula,1550466277,2591125,2020,2021,598.3757159534952
847,2020-2021,Haryana,Panipat,4504766290,6910742,2020,2021,651.8498722713133
848,2020-2021,Haryana,Rewari,2904900519,4592711,2020,2021,632.5023540562426
849,2020-2021,Haryana,Rohtak,3946476653,5063281,2020,2021,779.4306997774763
850,2020-2021,Haryana,Sirsa,8031799997,5452453,2020,2021,1473.0617571577416
851,2020-2021,Haryana,Sonipat,5807488730,6757640,2020,2021,859.3959917959525
852,2020-2021,Haryana,Yamunanagar,5394208389,6210399,2020,2021,868.5767837138966
853,2020-2021,Haryana,Nuh,5149352362,4240977,2020,2021,1214.1901175130165
854,2020-2021,Haryana,Palwal,3396019082,2828987,2020,2021,1200.436439616018
855,2020-2021,Haryana,Charki Dadri,1129693892,1682417,2020,2021,671.4708018285597
856,2020-2021,Delhi,Central,1162129619,1680867,2020,2021,691.3870157484203
857,2020-2021,Delhi,East,825154591,1956213,2020,2021,421.812241816203
858,2020-2021,Delhi,New Delhi,1731206279,2090780,2020,2021,828.019341585437
859,2020-2021,Delhi,North,1015040774,817907,2020,2021,1241.022236024389
860,2020-2021,Delhi,North East,603201482,412156,2020,2021,1463.5271159463891
861,2020-2021,Delhi,North West,978781839,1247770,2020,2021,784.4248851951883
862,2020-2021,Delhi,South,3494980418,10425343,2020,2021,335.2388902696055
863,2020-2021,Delhi,South West,2240711354,2200343,2020,2021,1018.3463914489696
864,2020-2021,Delhi,West,813014126,1265232,2020,2021,642.581064974645
865,2020-2021,Delhi,South East,250596484,294026,2020,2021,852.293620292083
866,2020-2021,Delhi,Shahdara,2204821209,11440446,2020,2021,192.721613213331
867,2020-2021,Rajasthan,Ajmer,11424682597,11391570,2020,2021,1002.906763246857
868,2020-2021,Rajasthan,Alwar,14631588119,15421743,2020,2021,948.7635813279991
869,2020-2021,Rajasthan,Banswara,15817957504,11095349,2020,2021,1425.6385719818277
870,2020-2021,Rajasthan,Baran,9594297839,6471174,2020,2021,1482.620902945895
871,2020-2021,Rajasthan,Barmer,20266200266,13647880,2020,2021,1484.933943293757
872,2020-2021,Rajasthan,Bharatpur,9992951523,9736130,2020,2021,1026.378193697085
873,2020-2021,Rajasthan,Bhilwara,15300735224,12656135,2020,2021,1208.9579657612692
874,2020-2021,Rajasthan,Bikaner,10729648582,9874467,2020,2021,1086.6053410275208
875,2020-2021,Rajasthan,Bundi,8083252544,5192965,2020,2021,1556.5775128467071
876,2020-2021,Rajasthan,Chittorgarh,8644179434,7431769,2020,2021,1163.1388750107815
877,2020-2021,Rajasthan,Churu,9266361186,9472567,2020,2021,978.2312636057364
878,2020-2021,Rajasthan,Dausa,6745053261,6458128,2020,2021,1044.4285497283424
879,2020-2021,Rajasthan,Dholpur,5706736663,5182139,2020,2021,1101.2318779947816
880,2020-2021,Rajasthan,Dungarpur,12482384133,9796985,2020,2021,1274.1046488281854
881,2020-2021,Rajasthan,Ganganagar,11960827147,10356677,2020,2021,1154.890429333656
882,2020-2021,Rajasthan,Hanumangarh,10882255095,8638200,2020,2021,1259.782720358408
883,2020-2021,Rajasthan,Jaipur,19623323724,22166703,2020,2021,885.2612733612211
884,2020-2021,Rajasthan,Jaisalmer,4412564695,3288074,2020,2021,1341.9906896864243
885,2020-2021,Rajasthan,Jalore,9620432066,8237746,2020,2021,1167.847620696244
886,2020-2021,Rajasthan,Jhalawar,11940363702,8086522,2020,2021,1476.5759249773882
887,2020-2021,Rajasthan,Jhunjhunu,7104712483,7292045,2020,2021,974.3100163260101
888,2020-2021,Rajasthan,Jodhpur,16207295430,13777956,2020,2021,1176.3207423510426
889,2020-2021,Rajasthan,Karauli,6343917442,5097120,2020,2021,1244.60821836645
890,2020-2021,Rajasthan,Kota,8362773467,6752560,2020,2021,1238.459705208099
891,2020-2021,Rajasthan,Nagaur,16283049861,14790777,2020,2021,1100.892120880465
892,2020-2021,Rajasthan,Pali,9738174111,9193047,2020,2021,1059.297761775829
893,2020-2021,Rajasthan,Rajsamand,6790870362,6767160,2020,2021,1003.5037389392301
894,2020-2021,Rajasthan,Sawai Madhopur,6854042064,5262749,2020,2021,1302.3691732210675
895,2020-2021,Rajasthan,Sikar,9236994548,9857426,2020,2021,937.0594867260479
896,2020-2021,Rajasthan,Sirohi,6063758588,5633677,2020,2021,1076.3411867595532
897,2020-2021,Rajasthan,Tonk,8197158580,6406671,2020,2021,1279.472378088402
898,2020-2021,Rajasthan,Udaipur,16047030131,17021884,2020,2021,942.729378898364
899,2020-2021,Rajasthan,Pratapgarh,5105155038,4441539,2020,2021,1149.4112824406134
900,2020-2021,Uttar Pradesh,Agra,17147150938,21924059,2020,2021,782.1157085008757
901,2020-2021,Uttar Pradesh,Aligarh,16250030728,19235155,2020,2021,844.8089307312574
902,2020-2021,Uttar Pradesh,Prayagraj,28532346851,29627105,2020,2021,963.0487639949971
903,2020-2021,Uttar Pradesh,Ambedkar Nagar,14724975137,11984355,2020,2021,1228.6831570827133
904,2020-2021,Uttar Pradesh,Auraiya,7510173376,7344329,2020,2021,1022.581283599904
905,2020-2021,Uttar Pradesh,Azamgarh,22486765753,22229495,2020,2021,1011.5733962017581
906,2020-2021,Uttar Pradesh,Baghpat,4957708601,4413558,2020,2021,1123.2906876945992
907,2020-2021,Uttar Pradesh,Bahraich,20402196559,18353482,2020,2021,1111.6253885230062
908,2020-2021,Uttar Pradesh,Ballia,15705043948,16386397,2020,2021,958.419593276057
909,2020-2021,Uttar Pradesh,Balrampur,10085624001,9419982,2020,2021,1070.662767826945
910,2020-2021,Uttar Pradesh,Banda,10346038079,9303997,2020,2021,1111.9992922396686
911,2020-2021,Uttar Pradesh,Barabanki,20908639845,18488022,2020,2021,1130.9289790438372
912,2020-2021,Uttar Pradesh,Bareilly,20103884131,23661833,2020,2021,849.6334215104976
913,2020-2021,Uttar Pradesh,Basti,15870613689,13658559,2020,2021,1161.953738238419
914,2020-2021,Uttar Pradesh,Bijnor,16165371268,17948080,2020,2021,900.6741260346511
915,2020-2021,Uttar Pradesh,Budaun,15685616666,14368348,2020,2021,1091.6785051419968
916,2020-2021,Uttar Pradesh,Bulandshahr,14520315115,16485242,2020,2021,880.8069129346114
917,2020-2021,Uttar Pradesh,Chandauli,9690130422,10106909,2020,2021,958.7630028132241
918,2020-2021,Uttar Pradesh,Chitrakoot,6062984861,5566218,2020,2021,1089.2467490493545
919,2020-2021,Uttar Pradesh,Deoria,15011663994,16760361,2020,2021,895.6647171263196
920,2020-2021,Uttar Pradesh,Etah,9357808460,8870128,2020,2021,1054.9800927337237
921,2020-2021,Uttar Pradesh,Etawah,8329145327,8638587,2020,2021,964.179133346692
922,2020-2021,Uttar Pradesh,Ayodhya,13760403012,13071722,2020,2021,1052.6847963871937
923,2020-2021,Uttar Pradesh,Farrukhabad,9238035592,9471481,2020,2021,975.3528082883764
924,2020-2021,Uttar Pradesh,Fatehpur,16910217143,13075091,2020,2021,1293.315445605694
925,2020-2021,Uttar Pradesh,Firozabad,11446795884,12481197,2020,2021,917.1232441888386
926,2020-2021,Uttar Pradesh,Gautam Buddha Nagar,6939406408,12260325,2020,2021,566.0050943184622
927,2020-2021,Uttar Pradesh,Ghaziabad,9337435463,11312947,2020,2021,825.3760459586701
928,2020-2021,Uttar Pradesh,Ghazipur,17056636615,17352250,2020,2021,982.963973836246
929,2020-2021,Uttar Pradesh,Gonda,16289089782,16203201,2020,2021,1005.3007292818253
930,2020-2021,Uttar Pradesh,Gorakhpur,20884380670,24521235,2020,2021,851.6855154318288
931,2020-2021,Uttar Pradesh,Hamirpur,6826821592,6544905,2020,2021,1043.074206883064
932,2020-2021,Uttar Pradesh,Hardoi,23467836960,21383373,2020,2021,1097.480596723445
933,2020-2021,Uttar Pradesh,Jalaun,9974052718,8630704,2020,2021,1155.6476410267344
934,2020-2021,Uttar Pradesh,Jaunpur,24982143013,22647563,2020,2021,1103.0830563535687
935,2020-2021,Uttar Pradesh,Jhansi,10471008625,11173210,2020,2021,937.1531211710869
936,2020-2021,Uttar Pradesh,Amroha,9294749498,9732098,2020,2021,955.0612311959867
937,2020-2021,Uttar Pradesh,Kannauj,9379439632,8686707,2020,2021,1079.7462872870008
938,2020-2021,Uttar Pradesh,Kanpur Dehat,9819840826,9610626,2020,2021,1021.7691153521113
939,2020-2021,Uttar Pradesh,Kanpur Nagar,15054724474,23490451,2020,2021,640.8869916546089
940,2020-2021,Uttar Pradesh,Kaushambi,8882787408,8399185,2020,2021,1057.5773016072392
941,2020-2021,Uttar Pradesh,Kheri,24859204720,22951892,2020,2021,1083.1004572520644
942,2020-2021,Uttar Pradesh,Kushi Nagar,18588141288,21396925,2020,2021,868.7295622151314
943,2020-2021,Uttar Pradesh,Lalitpur,8293152217,7088952,2020,2021,1169.8699916433345
944,2020-2021,Uttar Pradesh,Lucknow,18394066894,25898343,2020,2021,710.2410719481165
945,2020-2021,Uttar Pradesh,Hathras,7339170542,8502929,2020,2021,863.1344025100057
946,2020-2021,Uttar Pradesh,Maharajganj,15933293916,15277405,2020,2021,1042.9319584052396
947,2020-2021,Uttar Pradesh,Mahoba,4896833102,4756607,2020,2021,1029.4802791149236
948,2020-2021,Uttar Pradesh,Mainpuri,10629498022,9279022,2020,2021,1145.5407716459774
949,2020-2021,Uttar Pradesh,Mathura,12094928040,12992417,2020,2021,930.9220940183801
950,2020-2021,Uttar Pradesh,Mau,11630265159,10714427,2020,2021,1085.4771010152947
951,2020-2021,Uttar Pradesh,Meerut,12503997069,12474316,2020,2021,1002.3793744683076
952,2020-2021,Uttar Pradesh,Mirzapur,14655661570,13047578,2020,2021,1123.247668647775
953,2020-2021,Uttar Pradesh,Moradabad,14085768365,16849751,2020,2021,835.9629982069172
954,2020-2021,Uttar Pradesh,Muzaffarnagar,11079917387,13956989,2020,2021,793.8615833973932
955,2020-2021,Uttar Pradesh,Pilibhit,12763743965,11106993,2020,2021,1149.1628710849102
956,2020-2021,Uttar Pradesh,Pratapgarh,17651440812,15742421,2020,2021,1121.2659610615165
957,2020-2021,Uttar Pradesh,Rae Bareli,16667231725,15980905,2020,2021,1042.9466744843298
958,2020-2021,Uttar Pradesh,Rampur,10453105927,12039269,2020,2021,868.2508819264691
959,2020-2021,Uttar Pradesh,Saharanpur,17906679803,17242968,2020,2021,1038.491737791313
960,2020-2021,Uttar Pradesh,Sant Kabeer Nagar,10800195469,9636729,2020,2021,1120.7325088211985
961,2020-2021,Uttar Pradesh,Bhadohi,7526506145,8622061,2020,2021,872.9358496767768
962,2020-2021,Uttar Pradesh,Shahjahanpur,17639371853,16025694,2020,2021,1100.6931651758732
963,2020-2021,Uttar Pradesh,Shravasti,6109665053,5696015,2020,2021,1072.6209557032416
964,2020-2021,Uttar Pradesh,Siddharth Nagar,15031006830,14478969,2020,2021,1038.1268742270254
965,2020-2021,Uttar Pradesh,Sitapur,27488493552,24801590,2020,2021,1108.3359394296897
966,2020-2021,Uttar Pradesh,Sonbhadra,10366616210,10316639,2020,2021,1004.844330600305
967,2020-2021,Uttar Pradesh,Sultanpur,14997031393,12460545,2020,2021,1203.5614327463204
968,2020-2021,Uttar Pradesh,Unnao,16758573019,16699110,2020,2021,1003.5608495901878
969,2020-2021,Uttar Pradesh,Varanasi,15602628179,19817809,2020,2021,787.3033885330109
970,2020-2021,Uttar Pradesh,Kasganj,6929489120,6934783,2020,2021,999.2366192280277
971,2020-2021,Uttar Pradesh,Amethi,9831437296,9020667,2020,2021,1089.8791958510385
972,2020-2021,Uttar Pradesh,Sambhal,10333129403,10347973,2020,2021,998.5655551091987
973,2020-2021,Uttar Pradesh,Shamli,5553134081,6022124,2020,2021,922.1221750000498
974,2020-2021,Uttar Pradesh,Hapur,5317037244,5016148,2020,2021,1059.9841240728942
975,2020-2021,Bihar,Araria,22832263924,15970990,2020,2021,1429.6085542599426
976,2020-2021,Bihar,Aurangabad,13499658413,10717385,2020,2021,1259.6037571665104
977,2020-2021,Bihar,Banka,14609670090,10365775,2020,2021,1409.414162472174
978,2020-2021,Bihar,Begusarai,18231512551,16810820,2020,2021,1084.5106039443644
979,2020-2021,Bihar,Bhagalpur,17128256522,15833292,2020,2021,1081.7874464767024
980,2020-2021,Bihar,Bhojpur,13481407950,11595616,2020,2021,1162.6297343754743
981,2020-2021,Bihar,Buxar,7326854626,6902470,2020,2021,1061.4830091257188
982,2020-2021,Bihar,Darbhanga,27324823720,23715615,2020,2021,1152.1870177096398
983,2020-2021,Bihar,Gaya,20943685222,18262746,2020,2021,1146.7982537784844
984,2020-2021,Bihar,Gopalganj,10380275163,11507488,2020,2021,902.0452737382824
985,2020-2021,Bihar,Jamui,10573064089,8319683,2020,2021,1270.8493928194139
986,2020-2021,Bihar,Jehanabad,5095121614,4786095,2020,2021,1064.5675888171882
987,2020-2021,Bihar,Kaimur (Bhabua),7222210717,6203893,2020,2021,1164.1417279440507
988,2020-2021,Bihar,Katihar,18030756875,17664238,2020,2021,1020.7492038433812
989,2020-2021,Bihar,Khagaria,11608314013,9007615,2020,2021,1288.7222658828114
990,2020-2021,Bihar,Kishanganj,9195404776,9328430,2020,2021,985.7398057336551
991,2020-2021,Bihar,Lakhisarai,4688571033,4322477,2020,2021,1084.6954264880992
992,2020-2021,Bihar,Madhepura,13056303170,10907098,2020,2021,1197.0464710228148
993,2020-2021,Bihar,Madhubani,24628213607,25203765,2020,2021,977.1640708045009
994,2020-2021,Bihar,Munger,6383164252,6497064,2020,2021,982.4690432478424
995,2020-2021,Bihar,Muzaffarpur,25219692083,26536118,2020,2021,950.3911643368484
996,2020-2021,Bihar,Nalanda,14166363023,13729682,2020,2021,1031.8056181490583
997,2020-2021,Bihar,Nawada,9716439897,9289905,2020,2021,1045.9138061153478
998,2020-2021,Bihar,Pashchim Champaran,23319166484,20436551,2020,2021,1141.0519555868307
999,2020-2021,Bihar,Patna,25077889268,31719656,2020,2021,790.6103795072682
1000,2020-2021,Bihar,Purbi Champaran,33140054994,27277339,2020,2021,1214.9299091821238
1001,2020-2021,Bihar,Purnia,19271357279,19053171,2020,2021,1011.4514418098698
1002,2020-2021,Bihar,Rohtas,14317100589,11779839,2020,2021,1215.390175451464
1003,2020-2021,Bihar,Saharsa,13757894015,10703758,2020,2021,1285.3330591928554
1004,2020-2021,Bihar,Samastipur,27952409556,23196584,2020,2021,1205.0226686825956
1005,2020-2021,Bihar,Saran,19220781706,17274244,2020,2021,1112.6843933662162
1006,2020-2021,Bihar,Sheikhpura,3262251528,2799997,2020,2021,1165.0910797404426
1007,2020-2021,Bihar,Sheohar,4168989916,4068028,2020,2021,1024.8183925971011
1008,2020-2021,Bihar,Sitamarhi,22225542991,19093553,2020,2021,1164.0339014430683
1009,2020-2021,Bihar,Siwan,13348373336,14598855,2020,2021,914.3438534049417
1010,2020-2021,Bihar,Supaul,13728992289,12127721,2020,2021,1132.03398140508
1011,2020-2021,Bihar,Vaishali,20820255625,18580442,2020,2021,1120.5468430191272
1012,2020-2021,Bihar,Arwal,3718393933,3249746,2020,2021,1144.2106346157516
1013,2020-2021,Sikkim,East District,522538289,19718325,2020,2021,26.50013573668149
1014,2020-2021,Sikkim,North District,191146476,4370463,2020,2021,43.7359785450649
1015,2020-2021,Sikkim,South District,420670481,35689805,2020,2021,11.78685288417799
1016,2020-2021,Sikkim,West District,455824885,11405323,2020,2021,39.9659777281187
1017,2020-2021,Sikkim,Pakyong,8294914,4824,2020,2021,1719.509535655058
1018,2020-2021,Sikkim,Soreng,27942079,3376,2020,2021,8276.682168246445
1019,2020-2021,Arunachal Pradesh,Changlang,363726261,213086,2020,2021,1706.9458387693232
1020,2020-2021,Arunachal Pradesh,Dibang Valley,33654184,15892,2020,2021,2117.6808457085326
1021,2020-2021,Arunachal Pradesh,East Kameng,576079877,252524,2020,2021,2281.2876281066356
1022,2020-2021,Arunachal Pradesh,East Siang,282793381,152914,2020,2021,1849.3622624481734
1023,2020-2021,Arunachal Pradesh,Kurung Kumey,215522653,80294,2020,2021,2684.1688420056294
1024,2020-2021,Arunachal Pradesh,Lohit,174345710,102193,2020,2021,1706.0435646277142
1025,2020-2021,Arunachal Pradesh,Lower Dibang Valley,113671896,69465,2020,2021,1636.3909306845173
1026,2020-2021,Arunachal Pradesh,Lower Subansiri,230661888,99275,2020,2021,2323.4639939561825
1027,2020-2021,Arunachal Pradesh,Papum Pare,934092793,591178,2020,2021,1580.053373095751
1028,2020-2021,Arunachal Pradesh,Tawang,159247190,107144,2020,2021,1486.2912528933025
1029,2020-2021,Arunachal Pradesh,Tirap,278120681,170277,2020,2021,1633.342618204455
1030,2020-2021,Arunachal Pradesh,Upper Siang,93888022,494848,2020,2021,189.731032559493
1031,2020-2021,Arunachal Pradesh,Upper Subansiri,497256174,221665,2020,2021,2243.2778020887376
1032,2020-2021,Arunachal Pradesh,West Kameng,248317624,184454,2020,2021,1346.2306266060914
1033,2020-2021,Arunachal Pradesh,West Siang,173595214,81291,2020,2021,2135.4788845013595
1034,2020-2021,Arunachal Pradesh,Anjaw,198092458,69754,2020,2021,2839.872380078562
1035,2020-2021,Arunachal Pradesh,Longding,30133606,18305,2020,2021,1646.1953564599837
1036,2020-2021,Arunachal Pradesh,Kra Daadi,29944116,12199,2020,2021,2454.6369374538895
1037,2020-2021,Arunachal Pradesh,Namsai,94938312,53083,2020,2021,1788.4880658591262
1038,2020-2021,Arunachal Pradesh,Siang,36953173,5133,2020,2021,7199.137541398793
1039,2020-2021,Arunachal Pradesh,Kamle,15409109,6938,2020,2021,2220.9727587200923
1040,2020-2021,Arunachal Pradesh,Lower Siang,36275819,18775,2020,2021,1932.1341677762982
1041,2020-2021,Arunachal Pradesh,Pakke Kessang,993856,800,2020,2021,1242.32
1042,2020-2021,Arunachal Pradesh,Leparada,8306393,14424,2020,2021,575.873058790904
1043,2020-2021,Arunachal Pradesh,Shi Yomi,3105004,5263,2020,2021,589.9684590537717
1044,2020-2021,Nagaland,Dimapur,1649937353,2252537,2020,2021,732.479578803811
1045,2020-2021,Nagaland,Kohima,991226255,866112,2020,2021,1144.4550531570974
1046,2020-2021,Nagaland,Mokokchung,683231188,516085,2020,2021,1323.8733696968523
1047,2020-2021,Nagaland,Mon,654598515,317641,2020,2021,2060.8124108663555
1048,2020-2021,Nagaland,Phek,522350061,420502,2020,2021,1242.2058896271599
1049,2020-2021,Nagaland,Tuensang,522672703,250500,2020,2021,2086.517776447106
1050,2020-2021,Nagaland,Wokha,507390930,390307,2020,2021,1299.9790677594817
1051,2020-2021,Nagaland,Zunheboto,478420885,592483,2020,2021,807.484577616573
1052,2020-2021,Nagaland,Peren,314428082,914905,2020,2021,343.6729299763363
1053,2020-2021,Nagaland,Kiphire,342201075,159622,2020,2021,2143.8214970367494
1054,2020-2021,Nagaland,Longleng,439877990,420725,2020,2021,1045.5237744369838
1055,2020-2021,Nagaland,Noklak,3511674,76159,2020,2021,46.10977034887538
1056,2020-2021,Nagaland,Tseminyu,4075625,20,2020,2021,203781.25
1057,2020-2021,Nagaland,Chumoukedima,0,0,2020,2021,
1058,2020-2021,Nagaland,Niuland,0,0,2020,2021,
1059,2020-2021,Nagaland,Shamator,0,0,2020,2021,
1060,2020-2021,Manipur,Bishnupur,1014531315,866236,2020,2021,1171.1950496169636
1061,2020-2021,Manipur,Chandel,511522613,293279,2020,2021,1744.15015394897
1062,2020-2021,Manipur,Churachandpur,1473459732,715949,2020,2021,2058.051246667011
1063,2020-2021,Manipur,Imphal East,2614359595,1659524,2020,2021,1575.3671504600113
1064,2020-2021,Manipur,Imphal West,2069445529,1335962,2020,2021,1549.0302336443701
1065,2020-2021,Manipur,Senapati,860866176,287990,2020,2021,2989.2224591131635
1066,2020-2021,Manipur,Tamenglong,392752106,155873,2020,2021,2519.692993655091
1067,2020-2021,Manipur,Thoubal,1653882832,794569,2020,2021,2081.4842159711743
1068,2020-2021,Manipur,Ukhrul,556242087,221684,2020,2021,2509.1665929882174
1069,2020-2021,Manipur,Kakching,145881904,189906,2020,2021,768.1795414573526
1070,2020-2021,Manipur,Kangpokpi,363010744,138703,2020,2021,2617.180190767323
1071,2020-2021,Manipur,Jiribam,28925677,21168,2020,2021,1366.4813397581254
1072,2020-2021,Manipur,Noney,104609471,51990,2020,2021,2012.1075399115214
1073,2020-2021,Manipur,Pherzawl,91967596,20929,2020,2021,4394.266137894787
1074,2020-2021,Manipur,Tengnoupal,74025299,52128,2020,2021,1420.0678905770412
1075,2020-2021,Manipur,Kamjong,129388163,40428,2020,2021,3200.4591619669536
1076,2020-2021,Mizoram,Aizawl,1691447088,1359585,2020,2021,1244.0907247432121
1077,2020-2021,Mizoram,Champhai,1052196010,543883,2020,2021,1934.5999231452354
1078,2020-2021,Mizoram,Kolasib,716086243,384510,2020,2021,1862.334511456139
1079,2020-2021,Mizoram,Lawngtlai,1194902002,559054,2020,2021,2137.36419379881
1080,2020-2021,Mizoram,Lunglei,1243478753,688297,2020,2021,1806.6020235450685
1081,2020-2021,Mizoram,Mamit,788043270,361933,2020,2021,2177.318094785499
1082,2020-2021,Mizoram,Saiha,515901250,289015,2020,2021,1785.0327837655484
1083,2020-2021,Mizoram,Serchhip,551425068,304222,2020,2021,1812.5745935533919
1084,2020-2021,Mizoram,Hnahthial,1571232,2579,2020,2021,609.2407910042652
1085,2020-2021,Mizoram,Saitual,1693289,2617,2020,2021,647.0343905235002
1086,2020-2021,Mizoram,Khawzawl,7526058,2781,2020,2021,2706.24163969795
1087,2020-2021,Tripura,Dhalai,3583133747,2776237,2020,2021,1290.6440433579698
1088,2020-2021,Tripura,North Tripura,2905719907,2647035,2020,2021,1097.7262888477107
1089,2020-2021,Tripura,South Tripura,3253426427,3145727,2020,2021,1034.2367366907554
1090,2020-2021,Tripura,West Tripura,4774511468,5677679,2020,2021,840.926630054288
1091,2020-2021,Tripura,Khowai,1655685093,1590042,2020,2021,1041.2838736335266
1092,2020-2021,Tripura,Sepahijala,3201800681,3169426,2020,2021,1010.2146827217294
1093,2020-2021,Tripura,Gomati,3186282612,3064240,2020,2021,1039.8280199984335
1094,2020-2021,Tripura,Unakoti,1792714040,1776660,2020,2021,1009.0360789346302
1095,2020-2021,Meghalaya,East Garo Hills,1003456823,329072,2020,2021,3049.3534029027082
1096,2020-2021,Meghalaya,East Khasi Hills,2628712166,1589578,2020,2021,1653.7170028774933
1097,2020-2021,Meghalaya,West Jaintia Hills,1168863811,427800,2020,2021,2732.2669728845253
1098,2020-2021,Meghalaya,Ri Bhoi,1269670257,528564,2020,2021,2402.1126240152566
1099,2020-2021,Meghalaya,South Garo Hills,947291392,342259,2020,2021,2767.761817804645
1100,2020-2021,Meghalaya,West Garo Hills,2233169234,947512,2020,2021,2356.876993642297
1101,2020-2021,Meghalaya,West Khasi Hills,1526221465,485085,2020,2021,3146.2969685725184
1102,2020-2021,Meghalaya,North Garo Hills,282571805,62711,2020,2021,4505.9368372374865
1103,2020-2021,Meghalaya,East Jaintia Hills,264776450,160325,2020,2021,1651.4982067675035
1104,2020-2021,Meghalaya,South West Khasi Hills,265767576,38238,2020,2021,6950.352424289973
1105,2020-2021,Meghalaya,South West Garo Hills,346789857,96194,2020,2021,3605.1090192735514
1106,2020-2021,Meghalaya,Eastern West Khasi Hills,973677,3372,2020,2021,288.7535587188612
1107,2020-2021,Assam,Barpeta,4167571991,3246628,2020,2021,1283.6616917614215
1108,2020-2021,Assam,Bongaigaon,1539618304,1199821,2020,2021,1283.206664994195
1109,2020-2021,Assam,Cachar,3500980385,2757791,2020,2021,1269.4872037076052
1110,2020-2021,Assam,Darrang,2650662413,1842352,2020,2021,1438.7383154793438
1111,2020-2021,Assam,Dhemaji,2218512402,1425348,2020,2021,1556.4707018917486
1112,2020-2021,Assam,Dhubri,4133659032,2309780,2020,2021,1789.6332256751725
1113,2020-2021,Assam,Dibrugarh,2428860741,2034638,2020,2021,1193.755715267286
1114,2020-2021,Assam,Goalpara,2177257471,1388697,2020,2021,1567.8419921696382
1115,2020-2021,Assam,Golaghat,2313591961,1573909,2020,2021,1469.9655196075503
1116,2020-2021,Assam,Hailakandi,1663978902,892062,2020,2021,1865.3175474350437
1117,2020-2021,Assam,Jorhat,1845394382,1561365,2020,2021,1181.9109445901504
1118,2020-2021,Assam,Kamrup,4233085784,4026349,2020,2021,1051.3459672770541
1119,2020-2021,Assam,Karbi Anglong,1764708409,1074796,2020,2021,1641.9007969884517
1120,2020-2021,Assam,Karimganj,2253430725,1973320,2020,2021,1141.9489616483895
1121,2020-2021,Assam,Kokrajhar,1998011869,1265523,2020,2021,1578.8032844918662
1122,2020-2021,Assam,Lakhimpur,2656186336,2007106,2020,2021,1323.3911592113222
1123,2020-2021,Assam,Marigaon,2512902201,1534163,2020,2021,1637.962981117391
1124,2020-2021,Assam,Nagaon,5486219576,3472657,2020,2021,1579.8334174667984
1125,2020-2021,Assam,Nalbari,2341946179,2028682,2020,2021,1154.4175868864613
1126,2020-2021,Assam,Dima Hasao,500319526,297371,2020,2021,1682.475850032451
1127,2020-2021,Assam,Sivasagar,1284786355,1192122,2020,2021,1077.7305972039774
1128,2020-2021,Assam,Sonitpur,2890251687,2184370,2020,2021,1323.1511543374063
1129,2020-2021,Assam,Tinsukia,2653799661,1882641,2020,2021,1409.6153547065
1130,2020-2021,Assam,Chirang,1261179672,1025632,2020,2021,1229.6610012168107
1131,2020-2021,Assam,Baksa,2150436916,1259699,2020,2021,1707.1037732029636
1132,2020-2021,Assam,Udalguri,1397632297,868339,2020,2021,1609.546844032112
1133,2020-2021,Assam,Kamrup Metro,1637376029,4158171,2020,2021,393.77313463058636
1134,2020-2021,Assam,Biswanath,663851583,657300,2020,2021,1009.967416704701
1135,2020-2021,Assam,Majuli,278835561,165542,2020,2021,1684.3795592659264
1136,2020-2021,Assam,South Salmara Mancachar,714539216,380975,2020,2021,1875.554080976442
1137,2020-2021,Assam,Charaideo,467046129,349298,2020,2021,1337.0993506976852
1138,2020-2021,Assam,Hojai,1114728905,1081393,2020,2021,1030.8268178173892
1139,2020-2021,Assam,West Karbi Anglong,71369858,186477,2020,2021,382.72740337950523
1140,2020-2021,Assam,Bajali,875471000,33432,2020,2021,26186.617611868867
1141,2020-2021,Assam,Tamulpur,1146788112,27654,2020,2021,41469.15860273378
1142,2020-2021,West Bengal,24 Paraganas North,19014723857,22907572,2020,2021,830.0628218913816
1143,2020-2021,West Bengal,24 Paraganas South,32929426659,14565924,2020,2021,2260.716632806817
1144,2020-2021,West Bengal,Bankura,13988020284,8145145,2020,2021,1717.3445388633352
1145,2020-2021,West Bengal,Purba Bardhaman,14844516669,9504819,2020,2021,1561.7884642516601
1146,2020-2021,West Bengal,Birbhum,21723383214,8394855,2020,2021,2587.7020167709866
1147,2020-2021,West Bengal,Coochbehar,8741449665,6558665,2020,2021,1332.809293507139
1148,2020-2021,West Bengal,Darjeeling,1711942894,4726303,2020,2021,362.21606909248095
1149,2020-2021,West Bengal,Dinajpur Dakshin,4382902422,2791293,2020,2021,1570.2050705533243
1150,2020-2021,West Bengal,Dinajpur Uttar,8314575819,4579825,2020,2021,1815.4789362038944
1151,2020-2021,West Bengal,Hooghly,15428036336,16369983,2020,2021,942.458910067286
1152,2020-2021,West Bengal,Howrah,6647079227,8700695,2020,2021,763.9710651850226
1153,2020-2021,West Bengal,Jalpaiguri,8001776195,6651346,2020,2021,1203.031115055509
1154,2020-2021,West Bengal,Kolkata,4691976740,16637169,2020,2021,282.01773631078703
